shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status,delay_days,is_on_time,transit_days,departure_month,departure_year
SHP00001,P011,P002,C001,2024-01-30,2024-02-13,2024-02-13,2811.92,Delivered,0.0,True,14.0,2024-01,2024
SHP00002,P010,P007,C001,2022-01-31,2022-02-05,2022-02-05,1847.26,Delivered,0.0,True,5.0,2022-01,2022
SHP00003,P004,P012,C009,2023-03-06,2023-03-19,2023-03-19,2851.59,Delivered,0.0,True,13.0,2023-03,2023
SHP00004,P007,P006,C005,2022-06-09,2022-07-02,2022-07-02,4361.3,Delivered,0.0,True,23.0,2022-06,2022
SHP00005,P002,P007,C006,2023-09-11,2023-09-25,2023-09-25,1759.95,Delivered,0.0,True,14.0,2023-09,2023
SHP00006,P009,P005,C010,2024-06-25,2024-07-18,2024-07-18,4752.2,In Transit,0.0,True,23.0,2024-06,2024
SHP00007,P005,P002,C004,2024-06-06,2024-06-14,2024-06-14,2144.79,Delivered,0.0,True,8.0,2024-06,2024
SHP00008,P005,P012,C002,2023-09-16,2023-10-06,2023-10-06,3846.49,Delivered,0.0,True,20.0,2023-09,2023
SHP00009,P005,P012,C009,2022-08-13,2022-09-05,2022-09-05,5420.11,Delivered,0.0,True,23.0,2022-08,2022
SHP00010,P005,P002,C004,2023-08-04,2023-08-17,2023-08-17,2352.89,Delivered,0.0,True,13.0,2023-08,2023
SHP00011,P011,P008,C003,2022-09-29,2022-10-21,2022-10-21,5367.08,Delivered,0.0,True,22.0,2022-09,2022
SHP00012,P007,P006,C004,2022-05-22,2022-06-19,2022-06-19,6514.01,Delivered,0.0,True,28.0,2022-05,2022
SHP00013,P003,P012,C003,2024-03-22,2024-04-06,2024-04-06,753.48,Delivered,0.0,True,15.0,2024-03,2024
SHP00014,P009,P001,C002,2023-11-30,2023-12-22,2023-12-22,5412.31,Delivered,0.0,True,22.0,2023-11,2023
SHP00015,P005,P008,C003,2023-04-10,2023-04-18,2023-04-18,2487.65,Delivered,0.0,True,8.0,2023-04,2023
SHP00016,P002,P012,C005,2024-05-11,2024-06-02,2024-06-02,3677.36,In Transit,0.0,True,22.0,2024-05,2024
SHP00017,P009,P001,C010,2022-11-28,2022-12-19,2022-12-21,5058.61,Delayed,2.0,False,23.0,2022-11,2022
SHP00018,P001,P005,C010,2022-03-22,2022-03-30,2022-03-30,1721.15,Delivered,0.0,True,8.0,2022-03,2022
SHP00019,P009,P003,C003,2023-11-07,2023-11-20,2023-11-20,1456.0,Delivered,0.0,True,13.0,2023-11,2023
SHP00020,P009,P004,C005,2023-02-13,2023-03-05,2023-03-05,2526.86,Delivered,0.0,True,20.0,2023-02,2023
SHP00021,P002,P005,C004,2022-03-07,2022-03-17,2022-03-28,2058.81,Delayed,11.0,False,21.0,2022-03,2022
SHP00022,P001,P005,C002,2022-02-02,2022-02-16,2022-02-16,2113.18,Delivered,0.0,True,14.0,2022-02,2022
SHP00023,P008,P004,C009,2022-05-16,2022-05-31,2022-05-31,1840.15,Delivered,0.0,True,15.0,2022-05,2022
SHP00024,P004,P002,C002,2023-11-06,2023-11-26,2023-11-26,3688.32,Delivered,0.0,True,20.0,2023-11,2023
SHP00025,P001,P012,C002,2022-03-04,2022-03-24,2022-03-24,4603.09,Delivered,0.0,True,20.0,2022-03,2022
SHP00026,P003,P008,C003,2022-10-13,2022-10-30,2022-10-30,3447.72,Delivered,0.0,True,17.0,2022-10,2022
SHP00027,P009,P002,C001,2023-10-30,2023-11-21,2023-11-21,5642.33,Delivered,0.0,True,22.0,2023-10,2023
SHP00028,P008,P009,C004,2024-06-04,2024-06-17,2024-06-17,1645.53,In Transit,0.0,True,13.0,2024-06,2024
SHP00029,P005,P009,C005,2023-03-10,2023-04-05,2023-04-05,5024.38,Delivered,0.0,True,26.0,2023-03,2023
SHP00030,P012,P009,C001,2024-02-05,2024-02-20,2024-02-25,3152.96,Delayed,5.0,False,20.0,2024-02,2024
SHP00031,P009,P003,C001,2023-06-05,2023-06-15,2023-06-15,2953.06,Delivered,0.0,True,10.0,2023-06,2023
SHP00032,P010,P004,C010,2023-09-01,2023-09-11,2023-09-11,2818.0,Delivered,0.0,True,10.0,2023-09,2023
SHP00033,P009,P006,C005,2022-07-29,2022-08-13,2022-08-13,1747.13,Delivered,0.0,True,15.0,2022-07,2022
SHP00034,P006,P002,C001,2023-04-15,2023-05-14,2023-05-14,7354.66,Delivered,0.0,True,29.0,2023-04,2023
SHP00035,P004,P010,C005,2022-05-16,2022-05-31,2022-05-31,3122.03,Delivered,0.0,True,15.0,2022-05,2022
SHP00036,P012,P005,C010,2024-04-06,2024-05-02,2024-05-06,5555.66,Delivered,4.0,False,30.0,2024-04,2024
SHP00037,P002,P004,C005,2022-04-29,2022-05-14,2022-05-14,3027.68,Delivered,0.0,True,15.0,2022-04,2022
SHP00038,P011,P012,C005,2023-06-02,2023-06-23,2023-06-23,5049.86,Delivered,0.0,True,21.0,2023-06,2023
SHP00039,P011,P007,C005,2022-02-15,2022-02-25,2022-02-25,2467.99,Delivered,0.0,True,10.0,2022-02,2022
SHP00040,P012,P007,C009,2022-01-10,2022-01-25,2022-01-26,4383.35,Delayed,1.0,False,16.0,2022-01,2022
SHP00041,P009,P001,C006,2023-08-20,2023-09-11,2023-09-11,2630.33,Delivered,0.0,True,22.0,2023-08,2023
SHP00042,P001,P007,C004,2023-11-30,2023-12-13,2023-12-13,3349.92,Delivered,0.0,True,13.0,2023-11,2023
SHP00043,P007,P011,C003,2022-08-31,2022-09-12,2022-09-12,3158.31,Delivered,0.0,True,12.0,2022-08,2022
SHP00044,P006,P008,C004,2022-10-01,2022-10-13,2022-10-13,1922.21,Delivered,0.0,True,12.0,2022-10,2022
SHP00045,P008,P004,C004,2024-04-16,2024-04-29,2024-04-29,3264.76,In Transit,0.0,True,13.0,2024-04,2024
SHP00046,P005,P002,C005,2022-12-26,2023-01-08,2023-01-08,2155.52,Delivered,0.0,True,13.0,2022-12,2022
SHP00047,P006,P001,C002,2024-06-17,2024-07-11,2024-07-11,6674.74,Delivered,0.0,True,24.0,2024-06,2024
SHP00048,P006,P008,C010,2023-06-08,2023-06-19,2023-06-19,2866.47,Delivered,0.0,True,11.0,2023-06,2023
SHP00049,P012,P007,C001,2023-06-17,2023-07-09,2023-07-09,4685.0,Delivered,0.0,True,22.0,2023-06,2023
SHP00050,P011,P006,C010,2022-11-18,2022-12-18,2022-12-18,5330.09,Delivered,0.0,True,30.0,2022-11,2022
SHP00051,P005,P012,C007,2022-12-01,2022-12-25,2022-12-25,5161.02,Delivered,0.0,True,24.0,2022-12,2022
SHP00052,P012,P003,C010,2023-08-06,2023-08-18,2023-08-18,3681.53,Delivered,0.0,True,12.0,2023-08,2023
SHP00053,P004,P008,C010,2023-09-14,2023-09-29,2023-09-29,2168.36,Delivered,0.0,True,15.0,2023-09,2023
SHP00054,P012,P003,C002,2022-10-18,2022-11-01,2022-11-01,2303.56,Delivered,0.0,True,14.0,2022-10,2022
SHP00055,P004,P012,C005,2022-08-19,2022-09-01,2022-09-01,2727.56,Delivered,0.0,True,13.0,2022-08,2022
SHP00056,P008,P007,C010,2022-07-19,2022-08-14,2022-08-14,4248.16,Delivered,0.0,True,26.0,2022-07,2022
SHP00057,P001,P003,C007,2022-08-13,2022-09-04,2022-09-04,5236.65,Delivered,0.0,True,22.0,2022-08,2022
SHP00058,P002,P009,C003,2024-03-31,2024-04-21,2024-04-21,4811.19,Delivered,0.0,True,21.0,2024-03,2024
SHP00059,P008,P011,C009,2023-03-13,2023-04-10,2023-04-10,4559.95,Delivered,0.0,True,28.0,2023-03,2023
SHP00060,P011,P005,C009,2023-05-12,2023-05-25,2023-05-25,1591.95,Delivered,0.0,True,13.0,2023-05,2023
SHP00061,P004,P006,C006,2022-11-24,2022-12-08,2022-12-08,1974.52,Delivered,0.0,True,14.0,2022-11,2022
SHP00062,P007,P008,C006,2023-07-10,2023-08-06,2023-08-06,4739.97,Delivered,0.0,True,27.0,2023-07,2023
SHP00063,P010,P001,C010,2023-01-25,2023-02-02,2023-02-03,1176.8,Delayed,1.0,False,9.0,2023-01,2023
SHP00064,P007,P010,C009,2024-03-30,2024-04-08,2024-04-08,400.0,Delivered,0.0,True,9.0,2024-03,2024
SHP00065,P008,P001,C007,2022-12-11,2023-01-10,2023-01-10,5282.64,Delivered,0.0,True,30.0,2022-12,2022
SHP00066,P010,P009,C001,2023-02-08,2023-02-27,2023-02-27,2468.14,Delivered,0.0,True,19.0,2023-02,2023
SHP00067,P003,P009,C003,2022-02-21,2022-03-05,2022-03-05,1804.04,Delivered,0.0,True,12.0,2022-02,2022
SHP00068,P007,P005,C002,2023-04-27,2023-05-05,2023-05-05,2343.73,Delivered,0.0,True,8.0,2023-04,2023
SHP00069,P004,P012,C002,2024-03-10,2024-03-30,2024-03-31,1977.74,Delayed,1.0,False,21.0,2024-03,2024
SHP00070,P004,P003,C008,2023-11-17,2023-11-27,2023-11-27,3212.56,Delivered,0.0,True,10.0,2023-11,2023
SHP00071,P006,P003,C010,2023-09-14,2023-09-25,2023-09-25,1799.51,Delivered,0.0,True,11.0,2023-09,2023
SHP00072,P010,P012,C007,2023-02-11,2023-02-24,2023-03-04,3531.46,Delayed,8.0,False,21.0,2023-02,2023
SHP00073,P002,P006,C010,2024-04-04,2024-04-25,2024-04-25,5822.46,Delivered,0.0,True,21.0,2024-04,2024
SHP00074,P011,P006,C001,2024-05-19,2024-06-14,2024-06-14,4364.55,Delivered,0.0,True,26.0,2024-05,2024
SHP00075,P008,P003,C007,2022-06-30,2022-07-18,2022-07-18,2522.33,Delivered,0.0,True,18.0,2022-06,2022
SHP00076,P007,P011,C005,2022-11-27,2022-12-10,2022-12-10,1525.35,Delivered,0.0,True,13.0,2022-11,2022
SHP00077,P004,P009,C010,2023-09-17,2023-10-07,2023-10-07,2042.63,Delivered,0.0,True,20.0,2023-09,2023
