weather_id,port_id,weather_date,condition,wind_speed_kmh,visibility_km,weather_severity
1,P001,2022-01-01,Rain,30.4,11,1
2,P001,2022-01-04,Rain,34.9,13,1
3,P001,2022-01-07,Clear,14.0,16,0
4,P001,2022-01-10,Rain,17.1,17,1
5,P001,2022-01-13,Rain,27.7,5,1
6,P001,2022-01-16,Cloudy,20.4,9,0
7,P001,2022-01-19,Thunderstorm,51.4,2,2
8,P001,2022-01-22,Cloudy,20.5,19,0
9,P001,2022-01-25,Rain,18.8,7,1
10,P001,2022-01-28,Clear,10.6,18,0
11,P001,2022-01-31,Clear,18.5,5,0
12,P001,2022-02-03,Clear,22.3,9,0
13,P001,2022-02-06,Clear,27.1,20,0
14,P001,2022-02-09,Rain,30.0,15,1
15,P001,2022-02-12,Clear,17.8,17,0
16,P001,2022-02-15,Rain,25.7,14,1
17,P001,2022-02-18,Clear,5.7,6,0
18,P001,2022-02-21,Fog,7.3,2,1
19,P001,2022-02-24,Cloudy,29.0,17,0
20,P001,2022-02-27,Storm,50.2,4,3
21,P001,2022-03-02,Clear,16.6,20,0
22,P001,2022-03-05,Clear,22.1,19,0
23,P001,2022-03-08,Cloudy,14.1,10,0
24,P001,2022-03-11,Clear,21.6,6,0
25,P001,2022-03-14,Rain,23.1,5,1
26,P001,2022-03-17,Clear,7.1,17,0
27,P001,2022-03-20,Clear,12.0,7,0
28,P001,2022-03-23,Cloudy,16.1,5,0
29,P001,2022-03-26,Clear,30.8,18,0
30,P001,2022-03-29,Clear,34.7,9,0
31,P001,2022-04-01,Cloudy,19.3,7,0
32,P001,2022-04-04,Clear,32.1,11,0
33,P001,2022-04-07,Clear,11.2,18,0
34,P001,2022-04-10,Rain,24.9,10,1
35,P001,2022-04-13,Cloudy,33.2,11,0
36,P001,2022-04-16,Cloudy,25.5,13,0
37,P001,2022-04-19,Clear,34.7,19,0
38,P001,2022-04-22,Clear,17.0,12,0
39,P001,2022-04-25,Cloudy,32.3,20,0
40,P001,2022-04-28,Cloudy,22.3,7,0
41,P001,2022-05-01,Clear,31.4,19,0
42,P001,2022-05-04,Clear,30.3,14,0
43,P001,2022-05-07,Clear,29.7,10,0
