shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status
SHP00001,P011,P002,C001,2024-01-30,2024-02-13,2024-02-13,2811.92,Delivered
SHP00002,P010,P007,C001,2022-01-31,2022-02-05,2022-02-05,1847.26,Delivered
SHP00003,P004,P012,C009,2023-03-06,2023-03-19,2023-03-19,2851.59,Delivered
SHP00004,P007,P006,C005,2022-06-09,2022-07-02,2022-07-02,4361.3,Delivered
SHP00005,P002,P007,C006,2023-09-11,2023-09-25,2023-09-25,1759.95,Delivered
SHP00006,P009,P005,C010,2024-06-25,2024-07-18,2024-07-18,4752.2,In Transit
SHP00007,P005,P002,C004,2024-06-06,2024-06-14,2024-06-14,2144.79,Delivered
SHP00008,P005,P012,C002,2023-09-16,2023-10-06,2023-10-06,3846.49,Delivered
SHP00009,P005,P012,C009,2022-08-13,2022-09-05,2022-09-05,5420.11,Delivered
SHP00010,P005,P002,C004,2023-08-04,2023-08-17,2023-08-17,2352.89,Delivered
SHP00011,P011,P008,C003,2022-09-29,2022-10-21,2022-10-21,5367.08,Delivered
SHP00012,P007,P006,C004,2022-05-22,2022-06-19,2022-06-19,6514.01,Delivered
SHP00013,P003,P012,C003,2024-03-22,2024-04-06,2024-04-06,753.48,Delivered
SHP00014,P009,P001,C002,2023-11-30,2023-12-22,2023-12-22,5412.31,Delivered
SHP00015,P005,P008,C003,2023-04-10,2023-04-18,2023-04-18,2487.65,Delivered
SHP00016,P002,P012,C005,2024-05-11,2024-06-02,2024-06-02,3677.36,In Transit
SHP00017,P009,P001,C010,2022-11-28,2022-12-19,2022-12-21,5058.61,Delayed
SHP00018,P001,P005,C010,2022-03-22,2022-03-30,2022-03-30,1721.15,Delivered
SHP00019,P009,P003,C003,2023-11-07,2023-11-20,2023-11-20,1456.0,Delivered
SHP00020,P009,P004,C005,2023-02-13,2023-03-05,2023-03-05,2526.86,Delivered
SHP00021,P002,P005,C004,2022-03-07,2022-03-17,2022-03-28,2058.81,Delayed
SHP00022,P001,P005,C002,2022-02-02,2022-02-16,2022-02-16,2113.18,Delivered
SHP00023,P008,P004,C009,2022-05-16,2022-05-31,2022-05-31,1840.15,Delivered
SHP00024,P004,P002,C002,2023-11-06,2023-11-26,2023-11-26,3688.32,Delivered
SHP00025,P001,P012,C002,2022-03-04,2022-03-24,2022-03-24,4603.09,Delivered
SHP00026,P003,P008,C003,2022-10-13,2022-10-30,2022-10-30,3447.72,Delivered
SHP00027,P009,P002,C001,2023-10-30,2023-11-21,2023-11-21,5642.33,Delivered
SHP00028,P008,P009,C004,2024-06-04,2024-06-17,2024-06-17,1645.53,In Transit
SHP00029,P005,P009,C005,2023-03-10,2023-04-05,2023-04-05,5024.38,Delivered
SHP00030,P012,P009,C001,2024-02-05,2024-02-20,2024-02-25,3152.96,Delayed
SHP00031,P009,P003,C001,2023-06-05,2023-06-15,2023-06-15,2953.06,Delivered
SHP00032,P010,P004,C010,2023-09-01,2023-09-11,2023-09-11,2818.0,Delivered
SHP00033,P009,P006,C005,2022-07-29,2022-08-13,2022-08-13,1747.13,Delivered
SHP00034,P006,P002,C001,2023-04-15,2023-05-14,2023-05-14,7354.66,Delivered
SHP00035,P004,P010,C005,2022-05-16,2022-05-31,2022-05-31,3122.03,Delivered
SHP00036,P012,P005,C010,2024-04-06,2024-05-02,2024-05-06,5555.66,Delivered
SHP00037,P002,P004,C005,2022-04-29,2022-05-14,2022-05-14,3027.68,Delivered
SHP00038,P011,P012,C005,2023-06-02,2023-06-23,2023-06-23,5049.86,Delivered
SHP00039,P011,P007,C005,2022-02-15,2022-02-25,2022-02-25,2467.99,Delivered
SHP00040,P012,P007,C009,2022-01-10,2022-01-25,2022-01-26,4383.35,Delayed
SHP00041,P009,P001,C006,2023-08-20,2023-09-11,2023-09-11,2630.33,Delivered
SHP00042,P001,P007,C004,2023-11-30,2023-12-13,2023-12-13,3349.92,Delivered
SHP00043,P007,P011,C003,2022-08-31,2022-09-12,2022-09-12,3158.31,Delivered
SHP00044,P006,P008,C004,2022-10-01,2022-10-13,2022-10-13,1922.21,Delivered
SHP00045,P008,P004,C004,2024-04-16,2024-04-29,2024-04-29,3264.76,In Transit
SHP00046,P005,P002,C005,2022-12-26,2023-01-08,2023-01-08,2155.52,Delivered
SHP00047,P006,P001,C002,2024-06-17,2024-07-11,2024-07-11,6674.74,Delivered
SHP00048,P006,P008,C010,2023-06-08,2023-06-19,2023-06-19,2866.47,Delivered
SHP00049,P012,P007,C001,2023-06-17,2023-07-09,2023-07-09,4685.0,Delivered
SHP00050,P011,P006,C010,2022-11-18,2022-12-18,2022-12-18,5330.09,Delivered
SHP00051,P005,P012,C007,2022-12-01,2022-12-25,2022-12-25,5161.02,Delivered
SHP00052,P012,P003,C010,2023-08-06,2023-08-18,2023-08-18,3681.53,Delivered
SHP00053,P004,P008,C010,2023-09-14,2023-09-29,2023-09-29,2168.36,Delivered
SHP00054,P012,P003,C002,2022-10-18,2022-11-01,2022-11-01,2303.56,Delivered
SHP00055,P004,P012,C005,2022-08-19,2022-09-01,2022-09-01,2727.56,Delivered
SHP00056,P008,P007,C010,2022-07-19,2022-08-14,2022-08-14,4248.16,Delivered
SHP00057,P001,P003,C007,2022-08-13,2022-09-04,2022-09-04,5236.65,Delivered
SHP00058,P002,P009,C003,2024-03-31,2024-04-21,2024-04-21,4811.19,Delivered
SHP00059,P008,P011,C009,2023-03-13,2023-04-10,2023-04-10,4559.95,Delivered
SHP00060,P011,P005,C009,2023-05-12,2023-05-25,2023-05-25,1591.95,Delivered
SHP00061,P004,P006,C006,2022-11-24,2022-12-08,2022-12-08,1974.52,Delivered
SHP00062,P007,P008,C006,2023-07-10,2023-08-06,2023-08-06,4739.97,Delivered
SHP00063,P010,P001,C010,2023-01-25,2023-02-02,2023-02-03,1176.8,Delayed
SHP00064,P007,P010,C009,2024-03-30,2024-04-08,2024-04-08,400.0,Delivered
SHP00065,P008,P001,C007,2022-12-11,2023-01-10,2023-01-10,5282.64,Delivered
SHP00066,P010,P009,C001,2023-02-08,2023-02-27,2023-02-27,2468.14,Delivered
SHP00067,P003,P009,C003,2022-02-21,2022-03-05,2022-03-05,1804.04,Delivered
SHP00068,P007,P005,C002,2023-04-27,2023-05-05,2023-05-05,2343.73,Delivered
SHP00069,P004,P012,C002,2024-03-10,2024-03-30,2024-03-31,1977.74,Delayed
SHP00070,P004,P003,C008,2023-11-17,2023-11-27,2023-11-27,3212.56,Delivered
SHP00071,P006,P003,C010,2023-09-14,2023-09-25,2023-09-25,1799.51,Delivered
SHP00072,P010,P012,C007,2023-02-11,2023-02-24,2023-03-04,3531.46,Delayed
SHP00073,P002,P006,C010,2024-04-04,2024-04-25,2024-04-25,5822.46,Delivered
SHP00074,P011,P006,C001,2024-05-19,2024-06-14,2024-06-14,4364.55,Delivered
SHP00075,P008,P003,C007,2022-06-30,2022-07-18,2022-07-18,2522.33,Delivered
SHP00076,P007,P011,C005,2022-11-27,2022-12-10,2022-12-10,1525.35,Delivered
SHP00077,P004,P009,C010,2023-09-17,2023-10-07,2023-10-07,2042.63,Delivered
SHP00078,P005,P007,C005,2024-06-20,2024-07-02,2024-07-02,1662.21,In Transit
SHP00079,P004,P002,C004,2024-01-08,2024-01-28,2024-01-28,3839.49,Delivered
SHP00080,P001,P003,C005,2022-08-15,2022-09-10,2022-09-10,4214.39,Delivered
SHP00081,P008,P010,C009,2022-12-19,2023-01-12,2023-01-12,4483.83,Delivered
SHP00082,P004,P002,C004,2022-11-20,2022-12-05,2022-12-05,4930.06,Delivered
SHP00083,P004,P005,C008,2022-10-11,2022-11-06,2022-11-06,6330.02,Delivered
SHP00084,P005,P001,C009,2022-05-10,2022-05-20,2022-05-24,1197.22,Delayed
SHP00085,P003,P012,C008,2022-04-16,2022-05-02,2022-05-07,1904.02,Delayed
SHP00086,P005,P009,C002,2024-04-21,2024-05-10,2024-05-10,3706.85,In Transit
SHP00087,P010,P005,C002,2022-09-12,2022-09-23,2022-09-23,1963.87,Delivered
SHP00088,P007,P009,C008,2022-11-01,2022-11-21,2022-11-21,3612.12,Delivered
SHP00089,P012,P002,C004,2023-10-03,2023-10-20,2023-10-20,2783.75,Delivered
SHP00090,P007,P009,C010,2023-04-27,2023-05-15,2023-05-16,3741.7,Delayed
SHP00091,P008,P002,C004,2022-09-28,2022-10-28,2022-10-28,6070.86,Delivered
SHP00092,P003,P006,C003,2022-03-15,2022-03-25,2022-03-25,2571.47,Delivered
SHP00093,P010,P005,C008,2022-05-08,2022-05-25,2022-05-25,3531.07,Delivered
SHP00094,P002,P011,C001,2024-06-29,2024-07-15,2024-07-15,2649.19,In Transit
SHP00095,P011,P010,C010,2022-01-22,2022-02-01,2022-02-01,1339.33,Delivered
SHP00096,P008,P005,C003,2023-08-23,2023-09-03,2023-09-03,1777.02,Delivered
SHP00097,P006,P008,C006,2022-11-25,2022-12-15,2022-12-15,1706.34,Delivered
SHP00098,P007,P010,C001,2023-04-11,2023-04-16,2023-04-16,1524.66,Delivered
SHP00099,P007,P010,C001,2023-11-05,2023-11-14,2023-11-14,400.0,Delivered
SHP00100,P008,P001,C004,2022-10-01,2022-10-29,2022-11-11,4431.54,Delayed
SHP00101,P008,P002,C001,2023-10-08,2023-11-06,2023-11-06,6003.48,Delivered
SHP00102,P004,P002,C008,2022-05-01,2022-05-17,2022-05-17,4284.11,Delivered
SHP00103,P005,P008,C008,2023-04-29,2023-05-08,2023-05-08,1963.89,Delivered
SHP00104,P003,P002,C005,2024-03-02,2024-03-28,2024-03-28,6992.7,Delivered
SHP00105,P001,P006,C005,2024-05-07,2024-06-05,2024-06-05,6331.16,Delivered
SHP00106,P009,P010,C007,2023-04-12,2023-04-27,2023-04-27,2943.41,Delivered
SHP00107,P007,P004,C007,2022-02-14,2022-03-05,2022-03-05,4306.65,Delivered
SHP00108,P011,P003,C008,2022-02-07,2022-03-01,2022-03-01,5173.09,Delivered
SHP00109,P008,P002,C009,2023-04-13,2023-05-03,2023-05-03,4774.79,Delivered
SHP00110,P005,P007,C010,2023-12-11,2023-12-22,2023-12-22,2173.88,Delivered
SHP00111,P009,P007,C006,2023-10-04,2023-10-25,2023-10-25,3460.24,Delivered
SHP00112,P004,P002,C007,2022-04-11,2022-04-26,2022-04-26,4391.86,Delivered
SHP00113,P001,P007,C001,2022-10-28,2022-11-12,2022-11-12,1530.48,Delivered
SHP00114,P003,P004,C002,2023-09-17,2023-10-03,2023-10-03,2807.11,Delivered
SHP00115,P010,P003,C004,2023-04-18,2023-05-10,2023-05-10,5488.87,Delivered
SHP00116,P009,P003,C002,2023-03-29,2023-04-10,2023-04-10,2028.89,Delivered
SHP00117,P012,P005,C008,2024-05-15,2024-06-06,2024-06-06,4146.61,Delivered
SHP00118,P012,P005,C001,2024-04-29,2024-05-23,2024-05-23,5078.18,In Transit
SHP00119,P012,P008,C005,2024-03-05,2024-03-21,2024-03-21,3266.12,Delivered
SHP00120,P012,P011,C003,2023-10-06,2023-10-21,2023-10-21,4287.18,Delivered
SHP00121,P008,P001,C010,2023-01-09,2023-01-31,2023-02-07,4456.8,Delayed
SHP00122,P009,P006,C009,2023-05-29,2023-06-10,2023-06-10,1935.42,Delivered
SHP00123,P008,P005,C006,2024-04-03,2024-04-11,2024-04-11,1667.8,Delivered
SHP00124,P009,P006,C002,2024-03-20,2024-04-02,2024-04-03,2357.05,Delayed
SHP00125,P011,P012,C005,2023-08-22,2023-09-11,2023-09-11,5065.4,Delivered
SHP00126,P009,P006,C010,2022-08-15,2022-08-30,2022-08-31,3206.7,Delayed
SHP00127,P005,P012,C007,2022-04-30,2022-05-20,2022-05-21,3768.81,Delayed
SHP00128,P009,P003,C007,2023-04-10,2023-04-22,2023-04-22,2993.1,Delivered
SHP00129,P007,P011,C003,2024-06-25,2024-07-11,2024-07-11,2225.62,Delivered
SHP00130,P006,P004,C008,2023-04-01,2023-04-12,2023-04-12,1292.92,Delivered
SHP00131,P009,P012,C006,2022-03-04,2022-03-20,2022-03-20,4318.03,Delivered
SHP00132,P004,P012,C010,2022-01-22,2022-02-01,2022-02-01,1864.52,Delivered
SHP00133,P010,P004,C002,2024-04-29,2024-05-17,2024-05-17,2541.76,In Transit
SHP00134,P010,P001,C005,2024-05-29,2024-06-04,2024-06-04,1074.95,In Transit
SHP00135,P001,P004,C001,2023-01-02,2023-01-19,2023-01-19,2729.91,Delivered
SHP00136,P002,P003,C008,2023-04-05,2023-04-30,2023-04-30,4445.65,Delivered
SHP00137,P010,P001,C009,2022-11-05,2022-11-13,2022-11-13,1927.99,Delivered
SHP00138,P002,P009,C008,2022-03-17,2022-04-01,2022-04-01,3004.5,Delivered
