weather_id,port_id,weather_date,condition,wind_speed_kmh,visibility_km
1,P001,2022-01-01,Rain,30.4,11
2,P001,2022-01-04,Rain,34.9,13
3,P001,2022-01-07,Clear,14.0,16
4,P001,2022-01-10,Rain,17.1,17
5,P001,2022-01-13,Rain,27.7,5
6,P001,2022-01-16,Cloudy,20.4,9
7,P001,2022-01-19,Thunderstorm,51.4,2
8,P001,2022-01-22,Cloudy,20.5,19
9,P001,2022-01-25,Rain,18.8,7
10,P001,2022-01-28,Clear,10.6,18
11,P001,2022-01-31,Clear,18.5,5
12,P001,2022-02-03,Clear,22.3,9
13,P001,2022-02-06,Clear,27.1,20
14,P001,2022-02-09,Rain,30.0,15
15,P001,2022-02-12,Clear,17.8,17
16,P001,2022-02-15,Rain,25.7,14
17,P001,2022-02-18,Clear,5.7,6
18,P001,2022-02-21,Fog,7.3,2
19,P001,2022-02-24,Cloudy,29.0,17
20,P001,2022-02-27,Storm,50.2,4
21,P001,2022-03-02,Clear,16.6,20
22,P001,2022-03-05,Clear,22.1,19
23,P001,2022-03-08,Cloudy,14.1,10
24,P001,2022-03-11,Clear,21.6,6
25,P001,2022-03-14,Rain,23.1,5
26,P001,2022-03-17,Clear,7.1,17
27,P001,2022-03-20,Clear,12.0,7
28,P001,2022-03-23,Cloudy,16.1,5
29,P001,2022-03-26,Clear,30.8,18
30,P001,2022-03-29,Clear,34.7,9
31,P001,2022-04-01,Cloudy,19.3,7
32,P001,2022-04-04,Clear,32.1,11
33,P001,2022-04-07,Clear,11.2,18
34,P001,2022-04-10,Rain,24.9,10
35,P001,2022-04-13,Cloudy,33.2,11
36,P001,2022-04-16,Cloudy,25.5,13
37,P001,2022-04-19,Clear,34.7,19
38,P001,2022-04-22,Clear,17.0,12
39,P001,2022-04-25,Cloudy,32.3,20
40,P001,2022-04-28,Cloudy,22.3,7
41,P001,2022-05-01,Clear,31.4,19
42,P001,2022-05-04,Clear,30.3,14
43,P001,2022-05-07,Clear,29.7,10
44,P001,2022-05-10,Cloudy,10.4,18
45,P001,2022-05-13,Cloudy,32.3,10
46,P001,2022-05-16,Rain,7.9,6
47,P001,2022-05-19,Clear,31.1,13
48,P001,2022-05-22,Thunderstorm,66.9,1
49,P001,2022-05-25,Rain,26.7,11
50,P001,2022-05-28,Fog,11.2,3
51,P001,2022-05-31,Clear,16.1,8
52,P001,2022-06-03,Cloudy,28.4,18
53,P001,2022-06-06,Cloudy,12.6,6
54,P001,2022-06-09,Cloudy,7.2,19
55,P001,2022-06-12,Clear,27.4,11
56,P001,2022-06-15,Clear,5.3,8
57,P001,2022-06-18,Rain,9.1,19
58,P001,2022-06-21,Cloudy,7.0,12
59,P001,2022-06-24,Rain,18.1,20
60,P001,2022-06-27,Rain,30.2,10
61,P001,2022-06-30,Thunderstorm,70.3,2
62,P001,2022-07-03,Clear,21.0,17
63,P001,2022-07-06,Clear,25.1,5
64,P001,2022-07-09,Rain,9.6,16
65,P001,2022-07-12,Clear,26.4,11
66,P001,2022-07-15,Cloudy,6.4,8
67,P001,2022-07-18,Clear,14.2,6
68,P001,2022-07-21,Cloudy,6.5,17
69,P001,2022-07-24,Rain,32.9,16
70,P001,2022-07-27,Fog,8.0,1
71,P001,2022-07-30,Cloudy,34.7,15
72,P001,2022-08-02,Rain,25.4,7
73,P001,2022-08-05,Clear,31.5,10
74,P001,2022-08-08,Rain,6.3,8
75,P001,2022-08-11,Rain,14.7,11
76,P001,2022-08-14,Cloudy,33.0,17
77,P001,2022-08-17,Fog,6.8,1
78,P001,2022-08-20,Clear,14.7,5
79,P001,2022-08-23,Cloudy,14.5,17
80,P001,2022-08-26,Clear,11.6,13
81,P001,2022-08-29,Cloudy,16.1,7
82,P001,2022-09-01,Thunderstorm,60.6,5
83,P001,2022-09-04,Cloudy,34.7,10
84,P001,2022-09-07,Clear,7.8,15
85,P001,2022-09-10,Storm,74.8,2
86,P001,2022-09-13,Clear,24.1,15
87,P001,2022-09-16,Storm,73.3,1
88,P001,2022-09-19,Clear,23.3,19
89,P001,2022-09-22,Clear,24.2,12
90,P001,2022-09-25,Cloudy,26.1,5
91,P001,2022-09-28,Clear,23.5,8
92,P001,2022-10-01,Clear,27.1,12
93,P001,2022-10-04,Cloudy,6.8,16
94,P001,2022-10-07,Cloudy,11.1,17
95,P001,2022-10-10,Clear,6.1,19
96,P001,2022-10-13,Rain,14.9,13
97,P001,2022-10-16,Clear,28.6,6
98,P001,2022-10-19,Cloudy,34.3,14
99,P001,2022-10-22,Rain,11.9,15
100,P001,2022-10-25,Clear,11.2,6
101,P001,2022-10-28,Fog,15.0,1
102,P001,2022-10-31,Rain,25.9,12
103,P001,2022-11-03,Cloudy,16.4,15
104,P001,2022-11-06,Clear,23.9,7
105,P001,2022-11-09,Thunderstorm,43.5,2
106,P001,2022-11-12,Clear,34.8,11
107,P001,2022-11-15,Clear,10.2,11
108,P001,2022-11-18,Clear,7.3,19
109,P001,2022-11-21,Clear,26.7,12
110,P001,2022-11-24,Cloudy,23.2,14
111,P001,2022-11-27,Clear,18.4,11
112,P001,2022-11-30,Clear,28.4,7
113,P001,2022-12-03,Fog,10.4,2
114,P001,2022-12-06,Clear,18.2,18
115,P001,2022-12-09,Rain,29.6,20
116,P001,2022-12-12,Clear,16.4,7
117,P001,2022-12-15,Rain,32.6,9
118,P001,2022-12-18,Cloudy,10.3,17
119,P001,2022-12-21,Cloudy,18.6,17
